5	65	60	50
10	233	224	200
15	519	497	450
20	951	898	800
25	1461	1397	1250
30	2121	1984	1800
35	2803	2761	2450
40	3693	3527	3200
45	4659	4515	4050
50	5667	5586	5000
55	6927	6844	6050
60	8117	8049	7200
65	9687	9469	8450
